,x1,x2,y
sample178,0.407492857,9.00170716,3.405676326
sample179,0.400865889,8.917497604,3.408838623
sample180,0.406197745,8.971750164,3.406824863
sample181,0.407154773,9.025113091,3.402836666
sample182,0.410871371,9.055983416,3.402592323
sample183,0.411864615,8.919476955,3.396984001
sample184,0.414824762,8.943743916,3.397593334
sample185,0.407871522,8.982931653,3.402888479
sample186,0.4139657,9.105667526,3.39902472
sample187,0.401853542,8.804001678,3.407805375
sample188,0.4054039,8.855836667,3.4006284
sample189,0.401989388,8.778739149,3.406323144
sample190,0.399173396,8.70224385,3.407798906
sample191,0.406186111,8.916061256,3.403685277
sample192,0.404088404,8.90881533,3.403340808
sample193,0.409440455,8.849118521,3.397286061
sample194,0.406103704,8.708866511,3.397963111
sample195,0.411992609,8.933715243,3.396697088
sample196,0.410838488,8.869872046,3.395778373
sample197,0.413794375,9.104335657,3.399274125
sample198,0.410391979,9.099700257,3.402918459
sample199,0.414816724,9.066084529,3.399599068
sample200,0.415098171,9.124680605,3.399435952
sample201,0.412241754,9.094445356,3.40002
sample202,0.411810417,9.08064732,3.404229834
sample203,0.40710783,9.130748588,3.409376565
sample204,0.404199063,8.96367741,3.392924166
sample205,0.411124375,8.93505033,3.3971145
sample206,0.406426591,8.767080551,3.404307332
sample207,0.409901809,8.920190632,3.40290932
sample208,0.410112,8.829200684,3.4015332
sample209,0.399764388,8.91026264,3.410085182
sample210,0.407721136,8.820791714,3.4021065
sample211,0.400209783,8.523192407,3.403091715
sample212,0.41256949,8.909925698,3.397746326
sample213,0.412149464,8.9387445,3.3982585
sample214,0.412204535,8.946755802,3.396526325
sample215,0.409656731,8.888250744,3.397875
sample216,0.411582619,8.991678075,3.405274475
sample217,0.409093444,8.787329487,3.396596863
sample218,0.403720182,6.441806335,3.4018255
sample219,0.413610385,8.988536016,3.402511
sample220,0.412099667,8.937719712,3.3984652
sample221,0.414477045,8.925035168,3.3966205
sample222,0.41563,9.031244701,3.394898
sample223,0.409789375,9.025115893,3.39978275
sample224,0.417583056,9.088757545,3.394063111
sample225,0.416366273,9.099089175,3.39917051
sample226,0.412204535,8.946755802,3.396526325
sample227,0.409656731,8.888250744,3.397875
sample228,0.410614479,8.907510455,3.397485541
sample229,0.404924811,8.806868088,3.403090452
sample230,0.41563,9.171585663,3.400320716
sample231,0.412185086,9.160425959,3.401977621
sample232,0.403075865,8.689006431,3.4008895
sample233,0.40334451,8.707256372,3.402045962
sample234,0.403994074,8.903506203,3.406392889
sample235,0.40327713,8.782667786,3.404894519
sample236,0.409728913,8.968014717,3.401522348
sample237,0.405460926,8.81937634,3.404691334
sample238,0.412088936,8.955712893,3.401512512
sample239,0.411804561,8.918033381,3.400062422
sample240,0.410335408,8.966918419,3.401413387
sample241,0.405991489,9.00234656,3.406019362
sample242,0.407721136,8.820791714,3.4021065
sample243,0.400209783,8.523192407,3.403091715
sample244,0.400624186,8.810073612,3.406724976
sample245,0.413043962,9.084605896,3.401821358
sample246,0.415126226,9.17245607,3.401903284
sample247,0.40417125,8.927671907,3.406232817
sample248,0.402446875,8.728739356,3.40457325
sample249,0.417093365,8.936981204,3.39248
sample250,0.413797024,9.05460889,3.395636525
sample251,0.408251091,8.952499878,3.40161451
sample252,0.401121466,8.824629509,3.405681724
sample253,0.41507375,8.888104847,3.394248
sample254,0.408239821,9.042234847,3.405336072
sample255,0.415748667,9.138126385,3.400236666
sample256,0.409644314,8.944409678,3.400865255
sample257,0.4064185,8.908981511,3.4047052
sample258,0.412385208,8.872216441,3.395901166
sample259,0.418316481,9.168575919,3.402346264
sample260,0.407672797,9.043396259,3.401057356
sample261,0.411489565,9.070507386,3.402525246
sample262,0.417169459,9.222449995,3.400830217
sample263,0.410617453,8.943753164,3.399447509
sample264,0.410387344,9.034802484,3.402682969
sample265,0.415135556,9.048965014,3.397850446
sample266,0.40127875,8.82138586,3.406559
sample267,0.407256735,9.030294193,3.405671019
sample268,0.407110273,9.027362486,3.407111383
sample269,0.415306364,9.201944932,3.396845637
sample270,0.406563125,8.973039294,3.403392572
sample271,0.407112907,8.90368381,3.400262047
sample272,0.406159057,8.97532533,3.401296943
sample273,0.404664528,8.996624925,3.404858943
sample274,0.400149135,8.723541059,3.406811499
sample275,0.409628857,8.944100882,3.403764744
sample276,0.406406364,8.852130799,3.403085046
sample277,0.405680472,9.006371878,3.398948605
sample278,0.407019767,8.825184719,3.400046
sample279,0.411937447,9.052598125,3.403746297
sample280,0.409821983,9.111251276,3.405926035
sample281,0.409501979,9.054985479,3.403125375
sample282,0.401940952,8.7862691,3.404250572
sample283,0.404039302,8.83379243,3.402856418
sample284,0.408714262,9.039267627,3.404414853
sample285,0.416353125,8.838864388,3.390933619
sample286,0.417243125,8.928464549,3.393572465
sample287,0.411826509,8.959914813,3.398782301
sample288,0.405789623,8.790765217,3.398926528
sample289,0.40279175,8.739565424,3.4001903
sample290,0.406984286,8.964769444,3.401831085
sample291,0.410375577,8.991307773,3.398671
sample292,0.407092209,8.859010061,3.397236791
sample293,0.409827549,8.899494962,3.39536243
sample294,0.413670106,9.074500589,3.399428638
sample295,0.415075849,9.248306393,3.402200565
sample296,0.404666818,8.905265831,3.408741817
sample297,0.40870181,6.683361509,3.407190527
sample298,0.410072444,8.821454642,3.400529116
sample299,0.409499898,8.902782051,3.399597633
sample300,0.410616939,9.215200762,3.402676776
sample301,0.403931444,8.814246238,3.402849954
sample302,0.408300588,9.09898659,3.399748784
sample303,0.405764255,8.991202802,3.407611446
sample304,0.404033824,8.907152866,3.40864843
sample305,0.407923902,8.807105541,3.398463804
sample306,0.418401136,9.076912912,3.396114683
sample307,0.411249222,8.887591623,3.397423466
sample308,0.420202157,6.421242069,3.397234818
sample309,0.399437449,8.813514912,3.405651387
sample310,0.399352734,9.002216467,3.41310254
sample311,0.413075086,8.988063609,3.398685932
sample312,0.410377746,9.025892491,3.402340224
sample313,0.403781875,8.936720351,3.40316925
sample314,0.40261787,8.960073931,3.408457962
sample315,0.404864423,8.832389249,3.403115999
sample316,0.402908235,8.813216598,3.402601647
sample317,0.410357717,8.826578925,3.395039869
sample318,0.409339318,8.857800233,3.396212576
sample319,0.415306364,9.201944932,3.396845637
sample320,0.406563125,8.973039294,3.403392572
sample321,0.399174674,9.006988915,3.415191564
sample322,0.400516481,9.02659205,3.414671
sample323,0.414952826,8.956268683,3.396938436
sample324,0.412228222,9.000845855,3.400186977
sample325,0.411217872,9.047929635,3.400880213
sample326,0.402744348,8.838397543,3.406545436
sample327,0.408829239,8.967430914,3.402308564
sample328,0.411198542,9.098083336,3.403925959
sample329,0.413190741,9.283944888,3.405419815
sample330,0.402938229,9.006948751,3.40878525
sample331,0.404319583,8.982594041,3.407549166
sample332,0.3999482,8.829858045,3.4063458
sample333,0.405484,8.910446282,3.4061352
sample334,0.40928875,9.037906617,3.407198475
sample335,0.401327907,8.850096731,3.405772651
sample336,0.417476277,9.269467967,3.402586255
sample337,0.414977333,9.235913687,3.4025056
sample338,0.403793,8.767652984,3.4018764
sample339,0.409384386,9.104725267,3.405987684
sample340,0.401898571,8.921053945,3.408804906
sample341,0.41351625,9.178766509,3.4003112
sample342,0.404801667,9.012734862,3.408309666
sample343,0.40959883,8.927796026,3.402115488
sample344,0.400807455,8.949769034,3.410095962
sample345,0.399813958,8.761084322,3.405064541
sample346,0.398205948,8.836898518,3.407200035
sample347,0.405683649,8.881853936,3.403768217
sample348,0.407450091,8.899370836,3.402761817
sample349,0.3993875,8.858933064,3.40995135
sample350,0.404180521,8.917881551,3.403740166
sample351,0.412841939,9.035634521,3.40178747
sample352,0.405042708,8.975886679,3.40623075
sample353,0.409379302,8.955902248,3.402564373
sample354,0.39869082,8.750201263,3.405198261
sample355,0.4029475,8.866774376,3.403712564
sample356,0.408955,8.880539895,3.3989007
sample357,0.4064007,8.956380261,3.40440776
sample358,0.414087333,9.066402179,3.401291111
sample359,0.410837692,9.095586479,3.404311999
sample360,0.401511364,8.731904645,3.403455627
sample361,0.399763448,8.801824045,3.405449068
sample362,0.41040537,8.873581697,3.398718073
sample363,0.409500867,8.990501878,3.402197066
sample364,0.406118125,8.909226979,3.4029164
sample365,0.4016036,8.628318712,3.40086968
sample366,0.4091864,8.98040892,3.40371356
sample367,0.407275755,8.917655761,3.403702188
sample368,0.410226429,9.013119985,3.400551144
sample369,0.401807188,8.939608318,3.408133625
sample370,0.399079123,8.813229759,3.404796702
sample371,0.402062041,8.791873338,3.402933061
sample372,0.401218846,8.684430574,3.401217019
sample373,0.413747308,9.035685781,3.399610999
sample374,0.399534576,8.97427562,3.411656102
sample375,0.401330667,8.77202381,3.403479734
sample376,0.39927625,8.816151588,3.407170764
sample377,0.4054128,8.926783846,3.4059168
sample378,0.403615,8.872427305,3.405682605
sample379,0.407905472,9.119113056,3.40989117
sample380,0.403909385,8.901344465,3.4033996
sample381,0.400769918,8.732007305,3.400616294
sample382,0.4006335,8.846267351,3.40446392
sample383,0.410616939,9.148218732,3.407391265
sample384,0.409076364,9.020653684,3.406026
sample385,0.403150222,8.823762173,3.402173377
sample386,0.400157131,8.885201942,3.406551967
sample387,0.414729886,9.166114801,3.40081891
sample388,0.407862727,9.008088964,3.402662073
sample389,0.405886842,9.015360934,3.406796422
sample390,0.403426441,8.894085873,3.405827695
sample391,0.406118125,8.909226979,3.4029164
sample392,0.4016036,8.628318712,3.40086968
sample393,0.39949875,8.983695179,3.412604
sample394,0.401785556,8.759302594,3.404762592
sample395,0.397996875,8.626436361,3.405144166
sample396,0.407635345,8.963404529,3.402602068
sample397,0.399956111,8.844221599,3.407154111
sample398,0.4064897,9.025289195,3.40993744
sample399,0.403374262,8.927071699,3.407961081
sample400,0.405683426,8.870817123,3.401944962
sample401,0.405003707,8.945942664,3.401956103
sample402,0.4091864,8.98040892,3.40371356
sample403,0.407275755,8.917655761,3.403702188
sample404,0.409751316,8.908572061,3.401784578
sample405,0.403384259,8.85799844,3.403443815
sample406,0.402660403,8.879792259,3.405780677
sample407,0.41112551,9.138295083,3.405354875
sample408,0.404317632,8.910407023,3.407224051
sample409,0.403713889,8.989035157,3.409913866
sample410,0.400447203,8.849200997,3.407454237
sample411,0.405780667,8.859867624,3.4020064
sample412,0.412485978,9.13099499,3.403101564
sample413,0.410471633,9.019945634,3.405936326
sample414,0.408315313,9.09433919,3.404938875
sample415,0.414088781,9.199933746,3.403611804
sample416,0.410099286,9.013291273,3.403158985
sample417,0.410426224,9.148862024,3.407925061
sample418,0.408276905,9.031245965,3.405372906
sample419,0.4085545,9.064025936,3.403723266
sample420,0.40477549,8.931840744,3.403699764
sample421,0.4019952,8.867896094,3.407760572
sample422,0.400356964,8.743060258,3.405425215
sample423,0.403987182,8.984015694,3.407883817
sample424,0.408414643,9.17968499,3.407420715
sample425,0.39911766,8.696970682,3.403905617
sample426,0.408476415,9.061073297,3.40529
sample427,0.398400761,8.791302692,3.405447217
sample428,0.401111875,9.110633893,3.41607175
sample429,0.4069525,8.990053028,3.40541188
sample430,0.404417935,9.041356222,3.409239262
sample431,0.398884457,8.868392244,3.408582479
sample432,0.407914153,9.064004742,3.404875391
sample433,0.40750875,9.26661107,3.4076705
sample434,0.398343462,8.829352236,3.4084648
sample435,0.398704107,8.875446039,3.409061965
sample436,0.403466667,8.988000447,3.408374
sample437,0.402725,8.983765966,3.408041684
sample438,0.398701837,8.761852185,3.410224735
sample439,0.403409615,8.906918694,3.403837601
sample440,0.404600357,9.133881387,3.410875
sample441,0.3954537,8.753652108,3.4076224
sample442,0.408450667,9.011513791,3.403692934
sample443,0.408855259,9.10938181,3.405484932
sample444,0.399343,8.745683252,3.405558577
sample445,0.398569153,8.62880767,3.404036779
sample446,0.4045851,8.89850682,3.40666716
sample447,0.405609554,8.82739389,3.4032245
sample448,0.402034796,8.905301508,3.408831878
sample449,0.401601905,8.718502881,3.406279809
sample450,0.399448182,8.751289127,3.407899417
sample451,0.399088276,8.762737701,3.408861999
sample452,0.396394516,8.74519584,3.409888677
sample453,0.400311731,9.056879883,3.413067
sample454,0.407471667,8.863326439,3.404660236
sample455,0.401477541,8.869060293,3.4070673
sample456,0.39904963,8.892372496,3.411909223
sample457,0.39690931,8.808440739,3.410051068
sample458,0.408741058,9.030585999,3.4034
sample459,0.40673,9.151268123,3.408265302
sample460,0.405381094,9.011810591,3.408467969
sample461,0.397166403,8.765700383,3.411890141
sample462,0.404497823,8.808434707,3.402883775
sample463,0.396358077,8.639874726,3.4091295
sample464,0.403056163,8.936300407,3.406131209
sample465,0.3974206,8.808414424,3.40939924
sample466,0.398206538,8.701045461,3.407589
sample467,0.3980525,8.934846731,3.412496175
sample468,0.400335185,8.902094083,3.410031927
sample469,0.402410431,9.033847861,3.409560656
sample470,0.406891818,9.051544619,3.40782591
sample471,0.401479,8.955585444,3.40847709
sample472,0.399426765,8.678856954,3.404104548
sample473,0.399576415,8.760622706,3.408018679
sample474,0.402826979,8.681262073,3.402368125
sample475,0.398673158,8.705736076,3.403310141
sample476,0.40022951,8.779224689,3.40818043
sample477,0.397385,8.694925832,3.407997965
sample478,0.401844271,8.872588053,3.407181375
sample479,0.398877059,9.004267065,3.413899411
sample480,0.405385729,8.974903014,3.408542584
sample481,0.401372885,8.845710378,3.4076265
sample482,0.394931143,8.788468941,3.411841085
sample483,0.402464512,8.93468109,3.405745707
sample484,0.405330273,9.018138609,3.40660651
sample485,0.406184245,9.038288986,3.406839358
sample486,0.400168837,8.990146628,3.411472698
sample487,0.405080431,8.963773593,3.406105344
sample488,0.402826491,8.973335744,3.407029509
sample489,0.399519184,8.908246729,3.411985837
sample490,0.400055,8.913265313,3.408846171
sample491,0.405612959,9.026619201,3.406721633
sample492,0.400317232,8.881647439,3.409461715
sample493,0.398077222,8.81797731,3.412304711
sample494,0.40240822,8.957788558,3.409683186
sample495,0.404609706,8.870323697,3.405636
sample496,0.400440667,8.951574559,3.409883823
sample497,0.398685769,8.901171066,3.412348667
sample498,0.407386186,9.231628515,3.410964679
sample499,0.39852117,8.83518641,3.41009085
sample500,0.403231379,8.948772905,3.405991932
sample501,0.407295521,8.924652625,3.403277041
sample502,0.398577264,8.854387312,3.409248037
sample503,0.403375385,9.014732432,3.408359334
sample504,0.400717073,8.976812008,3.410827755
sample505,0.405218854,8.869549114,3.404819709
sample506,0.404191852,8.95729184,3.407117519
sample507,0.403229904,9.02389052,3.409963001
sample508,0.401201731,8.776330204,3.407155999
sample509,0.399247407,8.712093643,3.404949408
sample510,0.400290094,8.963226071,3.411044
sample511,0.4020575,8.654177241,3.405405715
sample512,0.39927625,8.750898401,3.40534025
sample513,0.401288509,8.921482315,3.409854386
sample514,0.411281979,9.116503004,3.407276709
sample515,0.405176698,8.939324772,3.410294415
sample516,0.388307,8.846502206,3.42605016
sample517,0.394348529,8.668507513,3.409959647
sample518,0.396426538,8.815438224,3.410104001
sample519,0.402593523,8.962495758,3.405478227
sample520,0.3958898,8.647999312,3.40676232
sample521,0.396132407,8.835365164,3.413244851
sample522,0.4069525,8.93164406,3.404932762
sample523,0.404035278,8.997646778,3.407638962
sample524,0.403712683,9.021605313,3.410072487
sample525,0.399438246,8.964624887,3.410799509
sample526,0.406067927,9.04282705,3.407015269
sample527,0.405822885,8.996221,3.407090001
sample528,0.409110233,8.986565887,3.406423257
sample529,0.399204732,8.872152174,3.408322356
sample530,0.408405294,8.966860971,3.400835175
sample531,0.405066548,9.003605865,3.407020191
sample532,0.40929287,9.120925757,3.40378037
sample533,0.395975833,8.823282253,3.41328
sample534,0.403812778,8.901632876,3.404477073
sample535,0.411281979,9.116503004,3.407276709
sample536,0.403996429,8.977665885,3.408130144
sample537,0.411558723,9.321052177,3.408947404
sample538,0.405894649,9.005404466,3.412224111
sample539,0.4109575,9.172936981,3.408366
sample540,0.4033925,8.971522114,3.4121906
sample541,0.401601905,8.718502881,3.406279809
sample542,0.399448182,8.751289127,3.407899417
sample543,0.405271915,9.006706491,3.406288213
sample544,0.4065253,8.975345322,3.40750384
sample545,0.407709,9.134694123,3.4052057
sample546,0.401241667,8.816743877,3.407903777
sample547,0.409661765,8.93252356,3.405807293
sample548,0.403615,8.883679805,3.405783334
sample549,0.398766034,8.945053489,3.410675965
sample550,0.405254907,8.985200815,3.408089149
